CUMHURBAÞKANI VE 28.DÖNEM MÝLLETVEKÝLÝ GENEL SEÇÝMÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ýl Id;Ýl Adý;Kayýtlý Seçmen Sayýsý;Oy Kullanan Seçmen Sayýsý;Geçerli Oy Toplamý;MÝLLET;HAK-PAR;TKP;TKH;SOL PARTÝ;GENÇPARTÝ;MEMLEKET;BBP;AK PARTÝ;YENÝDEN REFAH;MHP;YEÞÝL SOL PARTÝ;TÝP;AB;ANAP;YP;HKP;MÝLLÝ YOL;VATAN PARTÝSÝ;GBP;CHP;ÝYÝ PARTÝ;AP;ZAFER PARTÝSÝ;SOSYALÝST GÜÇ BÝRLÝÐÝ ÝTTÝFAKI;CUMHUR ÝTTÝFAKI;EMEK VE ÖZGÜRLÜK ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;ATA ÝTTÝFAKI;BAÐIMSIZ TOPLAM OY
;Oy Oraný;;;;%0.1;%0.18;%0.1;%0.02;%0.05;0%;%0.8;%0.58;%42.57;%2.47;%15.58;%0.24;%0.43;0%;0%;%0.01;%0.1;%0.05;%0.1;%0.05;%20.33;%12.87;%0.47;%1.54;%0.01;%0.72;0%;%0.38;%0.01;%0.12
29;GÜMÜÞHANE;96.626;80.087;78.192;107;72;46;27;51;0;405;645;36.684;2.092;20.640;231;207;113;199;25;53;73;42;56;0;14.601;139;860;1;785;6;2;7;23
;Oy Oraný;;;;%0.13;%0.09;%0.05;%0.03;%0.06;0%;%0.51;%0.82;%46.91;%2.67;%26.39;%0.29;%0.26;%0.14;%0.25;%0.03;%0.06;%0.09;%0.05;%0.07;0%;%18.67;%0.17;%1.09;0%;1%;0%;0%;0%;%0.02
30;HAKKARÝ;186.358;155.762;148.685;143;214;124;67;916;0;1.128;445;29.092;2.931;3.988;95.302;0;0;321;61;143;0;134;158;9.915;0;349;0;18;343;0;2;1;2.890
;Oy Oraný;;;;%0.09;%0.14;%0.08;%0.04;%0.61;0%;%0.75;%0.29;%19.56;%1.97;%2.68;%64.09;0%;0%;%0.21;%0.04;%0.09;0%;%0.09;%0.1;%6.66;0%;%0.23;0%;%0.01;%0.23;0%;0%;0%;%1.94
31;HATAY;1.062.886;883.802;864.726;591;424;2.472;446;1.180;1.260;4.342;7.743;286.568;15.837;104.557;26.088;75.658;0;0;276;428;0;532;637;244.964;70.101;0;11.507;51;5.066;91;2.472;11;1.424
;Oy Oraný;;;;%0.06;%0.04;%0.28;%0.05;%0.13;%0.14;%0.5;%0.89;%33.13;%1.83;%12.09;%3.01;%8.74;0%;0%;%0.03;%0.04;0%;%0.06;%0.07;%28.32;%8.1;0%;%1.33;0%;%0.58;%0.01;%0.28;0%;%0.16
76;IÐDIR;133.968;105.922;101.639;55;100;141;39;574;59;414;205;35.252;457;4.581;45.388;0;167;174;37;86;33;59;104;6.010;6.706;221;0;5;246;0;153;1;372
;Oy Oraný;;;;%0.05;%0.09;%0.13;%0.03;%0.56;%0.05;%0.4;%0.2;%34.68;%0.44;%4.5;%44.65;0%;%0.16;%0.17;%0.03;%0.08;%0.03;%0.05;%0.1;%5.91;%6.59;%0.21;0%;0%;%0.24;0%;%0.15;0%;%0.36
32;ISPARTA;328.395;294.657;285.725;335;266;198;84;72;495;2.481;1.536;91.130;5.196;58.423;1.975;900;0;477;63;189;134;384;0;62.799;47.409;1.118;5.552;8;1.968;6;1.180;54;1.293
;Oy Oraný;;;;%0.11;%0.09;%0.06;%0.02;%0.02;%0.17;%0.86;%0.53;%31.89;%1.81;%20.44;%0.69;%0.31;0%;%0.16;%0.02;%0.06;%0.04;%0.13;0%;%21.97;%16.59;%0.39;%1.94;0%;%0.68;0%;%0.41;%0.01;%0.45
34;ÝSTANBUL-1;4.203.519;3.838.686;3.769.992;2.480;1.489;4.839;1.223;3.854;7.105;38.158;37.850;1.281.898;112.619;225.296;234.883;175.881;2.758;4.370;365;1.127;799;2.912;1.995;1.192.744;295.449;7.663;102.722;102;16.501;563;10.881;439;1.027
;Oy Oraný;;;;%0.06;%0.03;%0.12;%0.03;%0.1;%0.18;%1.01;1%;34%;%2.98;%5.97;%6.23;%4.66;%0.07;%0.11;0%;%0.02;%0.02;%0.07;%0.05;%31.63;%7.83;%0.2;%2.72;0%;%0.43;%0.01;%0.28;%0.01;%0.02
34;ÝSTANBUL-2;3.114.944;2.806.945;2.749.298;1.943;1.107;3.150;796;3.266;6.632;27.393;19.403;1.036.875;106.588;153.043;202.700;101.991;2.013;3.691;311;901;760;1.854;1.468;724.973;237.942;6.216;78.649;64;13.037;388;8.888;342;2.914
